The blog isWorld Travel Guide DevelopmentCurrent site: World Travel Guide Development
Blog ID: 1
Blog Lang: en
Import File: /var/www/columbus-xml/source-data/cities-full-en.xml


 Title, Type, Latitude, Longitude, Address1, Address2, City, Postcode, Website,  Telephone,  Description
 Hotel Cloister Inn, Cheap, 50.087811, 14.420460, , Konviktska 14, Prague 1, , http://www.cloister-inn.com,  2242 11020.,  <p>Dating from 1772  this fascinating historic building  enviably situated in the Old Town between Charles Bridge and the Old Town Square  was once a Jesuit convent  before serving as offices for the Soviet secret police. This cheap hotel in Prague now provides 73 comfortable rooms ranging from singles to triples. Unlimited buffet breakfasts are served in the former chapel.</p>
 Hotel Savoy, Luxury, 50.088135, 14.388496, , Keplerova 6, Prague 1, , https://www.hotelsavoyprague.com/en/,  2243 02430.,  <p>The elegant rooms and the library (complete with fireplace) give this large 5-star hotel (55 rooms and six suites) in the Prague Castle district the ambience of a private club and make it popular with rock divas like Tina Turner and Cher. The highly regarded Restaurant Hradčany is located here and Sunday brunches are popular. The Lobby Bar is a fashionable meeting place for the Prague elite. The old world meets the new in the &lsquo;Relax Centre' with its sauna  steam bath  whirlpool and fitness room.</p>
 Savic Hotel, Moderate, 50.085707, 14.419040, , Jilska 7, Prague 1, , http://www.savic.eu,  ,  <p>Located in the Old Town Square  close to the famous astronomical clock  this Prague hotel occupies a Gothic and Renaissance building dating from 1319  a historic rarity even for Prague. Spacious rooms retain original features such as painted ceiling beams; parquet floors have been restored and all mod-cons are at hand. There's also a comfortable bar and restaurant  as well as the opportunity to relax out front on a hotel terrace in Prague's historic heart.</p>
 Florentina Ship Hotel, Cheap, 50.092581, 14.419196, , Dvořákovo nábřeží, Pier 7, Prague 1, , http://www.florentinaboat.cz,  7390 02550.,  <p>For great value and something completely different in Prague  you'd be hard pushed to find a better concept than this floating hotel  converted from a large river cruiser and moored at the river's edge in the middle of the Old Town for the winter season. Fully refurbished to include 54 snugly comfortably cabin rooms and a café/bar  the ship's spacious sundeck would be the perfect cocktail spot if you were paying twice the price.</p>
 Ramada Encore Belfast City Central, Cheap, 54.603341, -5.926531, , 20 Talbot Street, Belfast, BT1 2LD, http://www.encorebelfast.co.uk,  +44 28 9443 4343.,  <p>A short saunter from St Anne's Cathedral  this recently opened Ramada offers all the quality you'd expect from a large chain hotel. Rooms are snug  with all modern amenities  and the breakfast offers a mixture of hot and cold choices.</p>
 Malmaison Belfast, Luxury, 54.599686, -5.924084, , 34-38 Victoria Street, Belfast, BT1 3GH, http://www.malmaison.com,  +44 844 693 0650.,  <p>Occupying a handsome converted mid-19th-century seed warehouse in the Cathedral Quarter  Malmaison is a stylish boutique hotel that combines period features (iron pillars  beams and stone-carved gargoyles) with its trademark contemporary style (Bordello-style bedrooms with mood lighting). Expect long  heavy velvet drapes  red and purple over-sized suede chairs  and a sleek bar.</p>
 Tara Lodge, Moderate, 54.587999, -5.930968, , 36 Cromwell Road, Belfast, BT7 1JW, http://www.taralodge.com,  +44 28 9059 0900.,  <p>Located in the heart of the Queens Quarter  near the vivacious Botanic Avenue  this stylish 4-star hotel offers affordable luxury. With 34 rooms to choose from  all come with comfy beds  white and gold furnishings and large bathrooms. The breakfasts are pretty decent too.</p>
 The Merchant Hotel, Luxury, 54.601003, -5.926050, , 16 Skipper Street, Belfast, BT1 2DZ, http://www.themerchanthotel.com,  +44 28 9023 4888.,  <p>One of the city's most luxurious stays is the sumptuous Merchant Hotel built in 1860 as the Italianate headquarters of The Ulster Bank. Located in the Cathedral Quarter  the Grade 1 listed property features classically styled interiors  sculptures and antiques throughout. The pièce de résistance is the stunning Great Room Restaurant where meals  including traditional afternoon teas  are served beneath its grand dome.</p>
 Ten Square Hotel, Moderate, 54.596034, -5.930036, , 10 Donegall Square South, Belfast, BT1 5JD, http://www.tensquare.co.uk,  +44 28 9024 1001.,  <p>Located just steps from City Hall  this 22-room boutique hotel is set within a Grade I listed building. Offering sophisticated interiors  with baroque touches and colonial finishes  its sleeping quarters stick to the modern. Cubist art and chaise longue make rooms unique  while its renowned restaurant is worth booking too.</p>
 Belfast Central Travelodge, Cheap, 54.595239, -5.933044, , 15 Brunswick Street, Belfast, BT2 7GE, http://www.travelodge.co.uk,  +44 870 1911 687.,  <p>This high-rise chain hotel in Belfast offers smart  simple  functional rooms and is an excellent budget choice in the heart of the city  particularly if you want a family room.</p>
 Ravenhill House, Cheap, 54.591589, -5.910416, , 690 Ravenhill Road, Belfast, BT6 0BZ, http://www.ravenhillhouse.com,  +44 28 9020 7444.,  <p>This beautifully restored Victorian guesthouse  near leafy Ormeau Park  is a 10-minute bus ride from the city centre. With only five guest bedrooms  it exudes a homely  intimate ambience. Each room has handcrafted furniture and there is a library of books and music  plus Wi-Fi and award-winning organic breakfasts.</p>
 The Old Rectory, Moderate, 54.565719, -5.950203, , 148 Malone Road, Belfast, BT9 5LH, http://www.anoldrectory.co.uk,  +44 28 9066 7882.,  <p>Originally a Church of Ireland rectory  built in 1896  this charming guesthouse is a 10-minute bus ride to Queen's University and the city centre. It features award-winning  locally sourced  organic breakfasts and serves a light supper and complimentary Irish whiskey every night. Free Wi-Fi and internet access are also available.</p>
 Europa Hotel, Luxury, 54.594321, -5.934250, Holywood, Great Victoria Street, Belfast, BT2 7AP, http://www.hastingshotels.com/europa-belfast,  +44 28 9027 1066.,  <p>Forget the 5-star reviews and short staggering distance between its beds and the wonderful Crown Liquor Saloon  the Europa Hotel is know for one thing: being the most bombed hotel in Europe. This swanky 4-star stay has 272 sumptuous rooms  each delicately decorated  plus a piano bar  excellent bistro and plenty of famed Irish hospitality.</p>
 Angel Hotel, Luxury, 51.481011, -3.181998, , Castle Street, Cardiff, Wales, , http://www.pumahotels.co.uk,  (029) 2064 9200.,  <p>A property that oozes Victorian charm and character  the Angel Hotel has 102 guest rooms and offers Wi-Fi internet access throughout the premises. All rooms are of a decent size and have a modern décor of cream walls with chocolate touches and pistachio greens. Its excellent Castell Restaurant serves traditional Welsh cuisine with a twist.</p>
 Novotel Cardiff Centre, Moderate, 51.472376, -3.165884, Atlantic Wharf, Schooner Way, Cardiff, Wales, CF10 4RT, http://www.novotel.com,  (029) 2113 2800.,  <p>Located in central Cardiff  near the Millennium Stadium  this hotel has 138 stylish and comfortable bedrooms  all decorated in neutral colours and natural pastels. The hotel also has an indoor pool  gym  sauna  steam bath and whirlpool. The Elements Restaurant and Bar downstairs offers good food and drinks.</p>
 Jolyons, Moderate, 51.464276, -3.165071, , 5 Bute Crescent, Cardiff, Wales, , http://www.jolyons.co.uk,  (029) 2048 8775.,  <p>This is a lovely boutique hotel located on Cardiff's oldest Georgian terrace  right in front of the new Millennium Centre and around the corner from the city's revamped waterfront area. Rooms (all non-smoking) are individually designed with solid furniture  exquisite linen and good lighting. The hotel also has an on-site restaurant and bar with Wi-Fi access available in all rooms.</p>
 Hilton Cardiff, Luxury, 51.483080, -3.179094, , Kingsway, Cardiff, Wales, , http://www.hilton.co.uk/cardiff,  (029) 2064 6300.,  <p>The central  modern 5-star Cardiff Hilton has 197 elegant bedrooms and suites  many with spectacular views across the city and over Cardiff Castle. There is also an award-winning restaurant  Razzi  as well as a bar  a health club  gym and spa and a 20m (66ft) pool. The staff's attentiveness has been acknowledged with tourism awards  while each room comes with soft beds  large LED TVs and lovely bathrooms.</p>
 Best Western Plus New House Country Hotel, Moderate, 51.538609, -3.206543, Thornhill, Thornhill Road, Cardiff, Wales, CF14 9UA, http://www.bestwestern.co.uk,  (029) 2052 0280.,  <p>It may be a little further out of town  but the Best Western Pulse New House Country Hotel has everything the modern traveller needs in the way of free parking  bars  restaurants and Wi-Fi  all in a secluded Vale estate. Think four poster beds  open fires  regal wallpaper and rolling hills  just four miles from the city centre.</p>
 The Big Sleep, Cheap, 51.477735, -3.172664, , Bute Terrace, Cardiff, Wales, CF10 2FE, http://www.thebigsleephotel.com,  (029) 2063 6363.,  <p>Set in a converted 1960 office block  this high-rise Cardiff hotel offers simple yet funky modern retro décor and accommodation that channels minimalist chic but stays reasonably priced. This  in other words  is a design hotel for budget travellers. There are 81 comfortable rooms  all with ensuite bathroom and tea and coffee making facilities. Some rooms offer spectacular views.</p>
 The St David's Hotel & Spa, Luxury, 51.461663, -3.168237, , Havannah Street, Cardiff, CF10 5SD, http://www.thestdavidshotel.com,  (029) 2045 4045.,  <p>Located in the Cardiff Bay area  only five minutes from the city centre  the stylish 5-star St David's (part of the Principal Hotels chain) has 132 well-equipped guest bedrooms (including 20 suites)  all with private balconies and splendid views across the bay. The hotel also boasts excellent spa facilities. There are good conference services and plenty of dining options too  including an award-winning restaurant.</p>
 Park Inn by Radisson Cardiff North, Cheap, 51.512621, -3.144493, Llanedeyrn, Circle Way East, Cardiff, CF23 9XF, http://www.parkinn.co.uk/hotel-cardiffnorth,  (29) 2058 9988.,  <p>Perched on the fringes of Cardiff city centre  the Park Inn by Radisson Cardiff North is a clean and classy budget choice with 132 rooms. All come with large LCD TVs  free Wi-Fi and access to the on-site gym. The hotel also has a lounge area offering light snacks during the day and a Bar and Grill for a more relaxed dinner or late night drink.</p>
 Hotel Ibis Cardiff, Cheap, 51.481102, -3.171959, , Churchill Way, Cardiff, CF10 2HA, http://www.ibis.com/gb/hotel-2936-ibis-cardiff/,  (29) 2064 9250.,  <p>Conveniently located  crisp and clean  the Ibis Cardiff is a dream for those watching their budget. With 102 rooms to choose from  all sleeping quarters come with soft bedding  fast Wi-Fi and sparkling ensuite bathrooms. There is also a café and bar on-site to make sure all visitors are filled up and ready for a full day's exploring.</p>
 The Midland, Luxury, 53.477911, -2.246679, , Peter Street, Manchester, M60 2DS, http://www.qhotels.co.uk/our-locations/the-midland-manchester,  +44 161 236 3333.,  <p>The Midland is a Grade II-listed Edwardian building that exudes elegance and charm  but is reasonably priced. There are 312 en-suite bedrooms decorated in a contemporary style that's in keeping with the building. Rooms are dotted with polished wood furniture and each comes with air conditioning  flat-screen TVs and Internet access.</p>
 Great John Street, Moderate, 53.478214, -2.254076, , Great John Street, Manchester, M3 4FD, http://www.eclectichotels.co.uk/great-john-street,  +44 161 831 3211.,  <p>Housed in a former Victorian schoolhouse  the Great John Street Hotel is one of Manchester's slickest new boutique hotels. Duplex suites come with flatscreen TVs  free Wi-Fi and rainforest showers. Some even have views of the set of Coronation Street. Be sure to try out the swanky bar too.</p>
 The Light Aparthotel, Moderate, 53.482945, -2.238085, , 20 Church Street, Manchester, M4 1PN, http://www.thelight.co.uk,  +44 161 839 4848.,  <p>If you want a place to hunker down for a longer stay  this apartment hotel is the perfect fit. It's slap bang in the middle of town and rooms are surprisingly good value considering the space offered. There's even a penthouse if you're feeling flush.</p>
 Novotel, Cheap, 53.477482, -2.241879, , 21 Dickinson Street, Manchester, M1 4LX, http://www.accorhotels.com,  +44 161 619 9003.,  <p>This hotel is not unlike the others in this well-established chain with contemporary bedrooms featuring in-room entertainment and eco-friendly toiletries. There are also two junior suites should you wish to upgrade. Novotel has extensive dining facilities too  plus a fully-equipped gym and relaxation zone featuring a sauna  steam room and heated loungers.</p>
 Hilton Manchester Deansgate, Moderate, 53.475257, -2.250699, , 303 Deansgate, Manchester, , http://www.placeshilton.com/manchester-deansgate,  +44 161 870 1600.,  <p>Housed in the 47-storey Beetham Tower  and occupying the lower 23 floors  this contemporary hotel offers stunning views from floor-to-ceiling windows featured in spacious  elegantly-furnished rooms. There is a gym  a 20m (60ft) indoor pool with underwater viewing panels  a spa  restaurant and a bar on the highest floor.</p>
 Britannia Hotel, Cheap, 53.478857, -2.237488, , 35 Portland Street, Manchester, , http://www.britanniahotels.com,  +44 871 222 0017.,  <p>This well-established stalwart  in a Grade II listed building  offers good value for money accommodation in the heart of the city. It has three bars and two restaurants and is close to the city's key transport links.</p>
 Premier Inn, Cheap, 53.471233, -2.247403, , Wedlock Street, Manchester, M15 5FJ, http://www.premierinn.com/en,  +44 870 990 6504.,  <p>This budget hotel chain has several locations in and around the city  but the stay with the best setting is at Deansgate Locks  situated close to Old Trafford. It's conveniently located close to a seven-day free city centre shuttle bus service and also offers free onsite car parking.</p>
 Radisson Blu Edwardian, Luxury, 53.477911, -2.246679, Peter Street, Free Trade Hall, Manchester, , http://www.radissonblu-edwardian.com,  +44 161 835 9929.,  <p>Retaining the vintage features of the Free Trade Hall  where the suffragettes rallied  Bob Dylan went electric in 1965  and the Sex Pistols played in 1976  the Radisson Edwardian is a contemporary hotel with every kind of creature comfort. Within easy walking distance of some of the city's best attractions  the hotel has an indoor infinity pool  a fitness centre and high-speed Internet access.</p>
 Lowry Hotel, Luxury, 53.483199, -2.250426, Chapel Wharf, 50 Dearmans Place, Salford, M3 5LH, http://www.thelowryhotel.com,  +44 161 827 4000.,  <p>Located in the Chapel Wharf area on the Salford-Manchester boundary  this is one of the finest hotels in Manchester  a stunning haven of glittering glass and steel  with 164 elegant rooms that include intense flashes of colour amid quietly expensive neutral colour schemes. Bathrooms are marble-lined and there's also a gym and spa  and a spectacular riverside restaurant. There is live entertainment in the River Bar and Terrace most evenings.</p>
 Point A Hotel Westminster, Cheap, 51.499121, -0.112478, Lambeth, 118-120 Westminster Bridge Road, London, SE1 7RW, https://www.pointahotels.com/Westminster,  020 7633 9317,  <p>This no-frills Asian hotel chain in the heart of Westminster is a fantastic option for those seeking value for money in the capital. The concept is simple: by stripping out costly extras  such as room service or windows  you can enjoy staying in a clean room with an ensuite bathroom for very little money. If you want extras  such as towels  toiletries  an in-room safe or a window  you simply pay for them. There are four hotels in the capital but this one in the centre is excellent if you want to be close to heart of the action.</p>
 Rosewood London, Luxury, 51.517330, -0.118097, , 252 High Holborn, London, WC1V 7EN, http://www.rosewoodhotels.com/en/london,  +44 20 7781 8888,  <p>&nbsp;Rosewood London is a five-star hotel which blends English heritage with contemporary sophistication. The Edwardian Grade II-listed building has been renovated to create a luxury hotel with the ambiance of a stylish London residence. The hotel&rsquo;s amenities include; a gym  a spa and a bar/lounge. The hotel also offers airport transportation and conference facilities. </p>
 Park Grand - London Lancaster Gate, Moderate, 51.513207, -0.180782, , 14-16 Craven Hill, London, W2 3DU, http://www.parkgrandlancastergate.co.uk,  ,  <p>The Park Grand is a boutique hotel located between Paddington and Lancaster Gate underground stations. Featuring modern guest rooms  a club lounge for executive visitors and a well-stocked bar. The hotel also offers links to Heathrow airport and major train stations.</p>
<p>&nbsp;</p>
 Hoxton Hotel, Moderate, 51.525555, -0.082850, , 81 Great Eastern Street, London, EC2A 3HU, https://thehoxton.com/london/shoreditch/hotels,  (020) 7550 1000.,  <p>In the heart of Hoxton  in the same premises as the popular Hoxton Grill  is this wallet savvy establishment. The Hoxton Hotel forgoes the money-making mini bar and instead has free milk and bottled water in the fridge  and sells the like of sweets and wine at reasonable prices in the lobby. Wi-Fi is also free  and guests receive a simple but tasty breakfast from coffee house chain Pret A Manger delivered to their room.&nbsp;</p>
 The Zetter, Moderate, 51.521997, -0.109894, Clerkenwell, 86-88 Clerkenwell Road, London, EC1M 5RJ, http://www.thezetter.com,  (020) 7324 4444.,  <p>This converted warehouse in the heart of Clerkenwell is pretty affordable considering its desirable location. Its 59 rooms are decked in sleek upholstery  cool mood lighting and in-room entertainment systems. Nice little touches  such as hot water bottles and old Penguin paperbacks  add a homely feel. The Zetter&rsquo;s popular restaurant  which serves modern Mediterranean food  occupies most of the ground floor and looks onto St John's Square.&nbsp;</p>
 Pavilion Hotel, Cheap, 51.517515, -0.168810, , 34-36 Sussex Gardens, Hyde Park, London, W2 1UL, http://www.pavilionhoteluk.com,  (020) 7262 0905.,  <p>This fun 30-room hotel in London is a great value option for those wanting their London stay served with a funky twist. Each room has its own theme &ndash; including Chinese-themed room Enter the Dragon  1970s infused chamber Honky Tonk Afro  and Moorish-inspired Casablanca Nights &ndash; and the hotel claims have housed many celebs and fashion photography shoots over the years. Paddington Station is but a few minutes&rsquo; walk away.</p>
 The Ritz, Luxury, 51.507126, -0.141406, St. James's, 150 Piccadilly, London, W1J 9BR, http://www.theritzlondon.com,  (020) 7493 8181.,  <p>Since 1906  The Ritz has been providing exemplary service to its well-heeled guests. The interior of this elegant building is fastidiously decorated in Louis XVI style with marble columns  rich fabrics and antique furniture. The rooms are furnished in soothing pastel colours  and the chandelier-filled restaurant is offers classic glamour for formal meals  and the famous Ritz afternoon tea is served in the Palm Court at 1530 or 1700.&nbsp;</p>
 The Soho Hotel, Moderate, 51.513806, -0.133391, Soho, 4 Richmond Mews, London, W1D 3DH, http://www.sohohotel.com,  (020) 7559 3000.,  <p>Rooms at this trendy hotel are sumptuously appointed in a modern  eclectic style  not forgetting flatscreen TVs  huge  ultra-comfortable beds  and sleek bathrooms kitted out in grey granite  glass and oak. Befitting a hotel nestled in the heart of London&rsquo;s entertainment district  there is a swish private event space and two private screening rooms. Onsite restaurant Refuel has an attractive dinner menu  as well as serving afternoon tea and an extensive selection of breakfast dishes.&nbsp;</p>
 The Dorchester, Luxury, 51.507294, -0.152341, Mayfair, 53 Park Lane, London, WK1 1QA, http://www.thedorchester.com,  (020) 7629 8888.,  <p>Sat beside Hyde Park  the glamorous Dorchester is a stately cavern of old-school British class. Dining includes high-end Asian restaurant China Tang and purveyors of modern British cuisine The Grill at The Dorchester  while the extensive spa in the basement is an exceptional pampering space. For all-out luxury  there&rsquo;s the baroque and rococo Oliver Messel Suite  perched a-top the hotel  with a terrace offering prime views across the London rooftops.&nbsp;</p>
 The Savoy, Luxury, 51.511185, -0.118821, , Strand, London, WC2R 0EU, http://www.the-savoy.com,  (020) 7836 4343.,  <p>A haunt of London&rsquo;s moneyed elite since the late 1800s  London&rsquo;s Savoy re-opened its grand doors in 2010 following a three-year overhaul. Costing around &pound;220 million  the spangly improvements have been enticing high-profile clientele from across the world  with revamped areas including the lavish guest rooms  the American Bar  and the famous Savoy Grill  which is overseen by TV kitchen king Gordon Ramsey. One thing that&rsquo;s not changed is the stunning view across the Thames.</p>
 Hard Days Night Hotel, Luxury, 53.406036, -2.987971, , Central Buildings, North John Street, Liverpool, L2 6RR, http://www.harddaysnighthotel.com,  +44 151 668 0474,  <p>Fans can now finally eat  drink and sleep Beatlemania. This 4-star boutique hotel in a Grade II-listed building is elegantly furnished with designer pieces and specially commissioned  original Beatles artwork. The 110 rooms are all impeccably tasteful  despite the hotel's devotion to the Fab Four. There's even a shop where fans can stock up on merchandise.</p>
 Hotel Ibis Liverpool Centre Albert Dock – Liverpool One, Cheap, 53.400053, -2.986774, , 27 Wapping, Liverpool, L1 8LY, http://www.ibis.com,  +44 151 603 2800,  <p>As you'd expected from the Ibis brand  this 192-room 3-star hotel is clean and comfortable as well as being conveniently located in Albert Dock  less than 10 minutes from the city centre. All rooms come with ensuite bathrooms  tea- and coffee-making facilities and Wi-Fi. It has an onsite bar and restaurant as well.</p>
 The Shankly Hotel, Moderate, 53.408222, -2.984140, , Millennium House, 60 Victoria Street, Liverpool, L1 6DN, http://shanklyhotel.com,  +44 151 236 0166,  <p>Pay homage to one of football's greatest managers in this quirky  stylish hotel. It's dedicated to famous Liverpool FC manager Bill Shankly but you don't have to be a die-hard footie fan to appreciate the central location and spacious  manly rooms with whirlpool baths. If you are a Liverpool FC fan  there's plenty of tastefully displayed Shankly memorabilia to take in – even on the ceilings.</p>
 Dolby Hotel, Cheap, 53.394140, -2.984041, Queen's Dock, 36-42 Chaloner Street, Liverpool, L3 4DE, http://www.dolbyhotels.co.uk,  +44 151 708 7272,  <p>Located in an unremarkable building close to the Albert Dock  this is one of Liverpool's best budget hotels and offers 64 comfortable rooms at reasonable prices. Although rooms are a smidgen small  all contain tea- and coffee-making facilities  satellite TV and ensuite shower facilities. Free Wi-FI.</p>
 The Nadler Liverpool, Cheap, 53.402607, -2.980608, , 29 Seel Street, Liverpool, L1 4AU, http://www.thenadler.com,  +44 151 705 2626,  <p>This contemporary hotel  decked out in a minimalist style  is housed in a large warehouse in the centre of Liverpool's vibrant nightlife action. Expect stylish black and white decor  classic design mid-century furniture  quirky artworks and superb facilities including HD TVs and a handy mini-kitchen in each of the 106 rooms.</p>
 Crowne Plaza Liverpool City Centre, Luxury, 53.407100, -2.996400, Princes Dock, Pier Head, St Nicholas Place, Liverpool, L3 1QW, https://www.ihg.com/crowneplaza/hotels/gb/en/liverpool/lpluk/hoteldetail,  +44 151 243 8000,  <p>This 4-star hotel enjoys a stunning location down on Princes Dock with fantastic views across the River Mersey. It has 159 contemporary rooms and is home to the Harbour Health Club gym  which has a swimming pool  whirlpool  sauna  steam room and beauty therapy suites. The Crowne Plaza has an award-winning restaurant and bar too.</p>
 Hope Street Hotel, Moderate, 53.401081, -2.970915, , 40 Hope Street, Liverpool, L1 9DA, http://www.hopestreethotel.co.uk,  +44 151 709 3000,  <p>Housed in a renovated 1860s warehouse  this boutique property is located in the Georgian Quarter. It manages to feel chic and contemporary without losing touch with its industrial past. The 48 individually designed rooms feature the softest white linen  exposed brickwork  and oak and walnut furniture. Book a table at the highly regarded hotel restaurant  The London Carriage Works  too.</p>
 Malmaison Liverpool, Luxury, 53.408284, -2.997421, , 7 William Jessop Way, Liverpool, L3 1QZ, http://www.malmaison.com,  +44 151 363 3640,  <p>Seriously sharp and stylish  the Malmaison Liverpool is in a smart new building about a 15-minute walk from the city centre. The supremely comfortable rooms in deep plums  dark browns and dazzling white all come with flatscreen TVs  drench showers  and Wi-FI. Ask for a room with a river view.</p>
 Titanic Hotel Liverpool, Moderate, 53.422168, -2.999114, , Stanley Dock, Regent Road, Liverpool, L3 0AN, http://www.titanichotelliverpool.com,  +44 151 559 1444,  <p>What the Titanic might lack in location it more than makes up for in space and style. Set in a converted 19th-century warehouse in the Stanley Dock conservation area just under 2.5km (1.5 miles) from Albert Dock  it's utterly in keeping with its surroundings; the huge rooms have exposed brick and vaulted ceilings.</p>
 Kirkwood House, Cheap, 52.215754, 0.133491, , 172 Chesterton Road, Cambridge, CB4 1DA, http://www.kirkwoodhouse.co.uk,  +44 1223 306 283.,  <p>This friendly family-run guesthouse occupies a plain Victorian building with comfortable pine-decorated rooms and a nice garden. It's a long  though pleasant  walk along the river into the city centre. It offers room-only accommodation. Rooms are clean  with traditional decor and pine furnishings.</p>
 Rectory Farm, Cheap, 52.213261, 0.074544, , Madingley Road, Cambridge, CB23 7PG, http://www.rectoryfarm.net,  +44 7742 272 115.,  <p>Located just 3.2km (2 miles) from the city but surrounded by fields and woods  this farm offers rooms in a Georgian house and a self-catering chalet as well as private lodge. It's easy to get into the town centre on public transport and there's access to a tennis court  heated outdoor swimming pool and croquet set.</p>
 Lensfield Hotel, Luxury, 52.197934, 0.123643, , 53-57 Lensfield Road, Cambridge, CB2 1EN, http://www.lensfieldhotel.co.uk,  +44 1223 355 017.,  <p>A family-run hotel that offers personal service and a friendly and relaxed atmosphere  the classically decorated Lensfield is housed in a building dating back to around 1850  located in the heart of Cambridge. It offers a dining room and conservatory for breakfasts  a new boutique wellness spa and a small  intimate bar.</p>
 Doubletree by Hilton Cambridge, Luxury, 52.201659, 0.117010, Mill Lane, Granta Place, Cambridge, CB2 1RT, http://doubletree3.hilton.com/en/index.html,  +44 1223 259 988.,  <p>This luxury modern hotel enjoys a perfect location on the banks of the River Cam. It has air-conditioned rooms  a heated indoor pool and a fitness centre/health club including sauna  steam room and solarium. The excellent Marco Pierre White Steakhouse Bar & Grill overlooks the gardens and the river.</p>
 Regency House, Moderate, 52.200480, 0.126833, , 7 Regent Terrace, Cambridge, CB2 1AA, http://www.regencyguesthouse.co.uk,  +44 1223 329 626.,  <p>This smart and sophisticated B&B is centrally located in a Victorian townhouse. There are 10 rooms split over four levels  all offering a flat screen TV  free Wi-Fi access and tea and coffee making facilities. The rooms have been decorated in light neutral colours and have beautiful oak furniture with most rooms having a park view.</p>
 Arundel House Hotel, Moderate, 52.212901, 0.119744, , Chesterton Road, Cambridge, CB4 3AN, http://www.arundelhousehotels.co.uk,  +44 1223 367 701.,  <p>With a beautiful location overlooking the river and open parkland and just a few minutes' walk from the centre of the city  Arundel House Hotel is a moderately priced establishment that offers very comfortable bedrooms and an excellent restaurant  as well as a relaxing conservatory brasserie and bar.</p>
 Cambridge Belfry, Moderate, 52.221420, -0.068060, Cambourne, Back Lane, Cambridge, CB23 6BW, http://www.qhotels.co.uk,  +44 1954 714 600.,  <p>This modern hotel is 11km (7 miles) west of Cambridge and is a reasonably priced out-of-city option  with 120 spacious bedrooms  plus tennis courts  an indoor pool and award-winning dining. Following a £150 000 refurb  it now has a new-look restaurant  bar and health club.</p>
 The Varsity, Luxury, 52.210000, 0.117978, , Thompson's Lane, Cambridge, CB5 8AQ, http://www.thevarsityhotel.co.uk,  +44 1223 306 030.,  <p>Famous for its spectacular roof terrace and the views from its light-flooded rooms  this unapologetically modern hotel occupies a riverside location in the heart of the city. Its partnership with the Elemis Spa ensures a luxurious experience for all guests.</p>
 Tudor Cottage, Cheap, 52.225229, 0.111842, , 292 Histon Road, Cambridge, CB4 3HS, http://www.tudorcottageguesthouse.co.uk,  +44 1223 565 212.,  <p>This cute little guesthouse has racked up the awards over the years  thanks to its warm service  luxurious rooms and scrumptious breakfasts. All rooms have Wi-Fi  TVs  deliciously comfortable beds and tea making facilities  but it's the welcoming owners that set this place apart.</p>
 Macdonald Randolph Hotel, Luxury, 51.755067, -1.260272, , Beaumont Street, Oxford, OX1 2LN, http://www.macdonaldhotels.co.uk/randolph,  +44 1865 256 400.,  <p>Located opposite the Ashmolean Museum  the time-honoured Randolph has a similarly prestigious past  having previously welcomed Prime Ministers and Presidents through its doors. It's been open since 1886 and has a good spa and restaurant aside the comfortable guestrooms. The hotel is also the favoured watering hole of TV's Inspectors Morse and Lewis.</p>
 Le Manoir aux Quat’Saisons, Luxury, 51.716683, -1.092706, Great Milton, Church Road, Oxford, OX44 7PD, http://www.manoir.com,  +44 1844 278 881.,  <p>Renowned as one of the country's leading hotels  Raymond Blanc's Le Manoir is notable for far more than just its food. It's set in the village of Great Milton in the Oxfordshire countryside  and with just 32 guestrooms it's somewhere that emphasises attention to detail above mass-market appeal. Definitely one for special occasions.</p>
 YHA Oxford, Cheap, 51.752686, -1.271617, , 2A Botley Road, Oxford, OX2 0AB, http://www.yha.org.uk/hostel/oxford,  +44 845 371 9131.,  <p>A 4-star hostel within a minute's walk of the train station  YHA Oxford has 203 beds and  in keeping with the organisation's revamped image  a modern  welcoming feel. There are various en suite rooms  many of them geared specifically at families. Other features include a bar  a games room and cycle storage.</p>
 Victoria House Hotel, Cheap, 51.753695, -1.260475, , 29 George Street, Oxford, OX1 2AY, http://www.victoriahouse-hotel.co.uk,  +44 1865 727 400.,  <p>Housed in a modern building in the city centre  the Victoria House Hotel is a basic but comfortable and convenient hotel that sits directly opposite the New Theatre. All rooms are en-suite and come with shower or bath  phone and TV – but be aware that the hotel doesn't serve breakfast.</p>
 Remont Hotel, Cheap, 51.781624, -1.266800, , 367 Banbury Road, Oxford, OX2 7PL, http://www.remont-oxford.co.uk,  +44 1865 311 020.,  <p>A family-run bed and breakfast with the feel of an upscale boutique hotel  the Remont is the hotel of choice for those who value style and individuality above a city-centre location. There are 25 en-suite rooms  as well as two communal areas and a garden area. Breakfast is included too.</p>
 Oxford Spires Four Pillars Hotel, Moderate, 51.737500, -1.251990, , Abingdon Road, Oxford, OX1 4PS, http://www.oxfordspireshotel.co.uk,  +44 1865 324 324.,  <p>The Oxford Spires is set in parkland  but still sits less than half a mile from the historic centre. The hotel has 174 well-appointed en suite bedrooms  some of which have four-poster beds. It also has a swimming pool  sauna  spa bath  beauty therapy room and gym as well a stylish restaurant and library bar.</p>
